Group,Marker Icon,Marker Color,Icon Color,Custom Size,Name,Image,Description,Location,Latitude,Longitude,Found,Quality,Source
Transportation hub,train,orange,white,,Union Station,,Amtrak train and city/regional bus service,"1 Union Place, Hartford CT 06103",41.7688755,-72.6816132,"1 Union Pl, Hartford, CT 06103, USA",Match,Google
Higher education,school,darkblue,white,,Capital Community College,,"Website: <a href=""http://www.ccc.commnet.edu/"" target=""_blank"">http://www.ccc.commnet.edu</a>",950 Main St Hartford CT 06103,41.7682074,-72.673059,"950 Main St, Hartford, CT 06103, USA",Match,Google
Higher education,school,darkblue,white,,Charter Oak State College,,"Website: <a href=""http://www.charteroak.edu/"" target=""_blank"">http://www.charteroak.edu</a>","55 Manafort Drive, New Britain CT 06053",41.6882257,-72.7679837,"55 Paul Manafort Dr, New Britain, CT 06053, USA",Partial Match,Google
Higher education,school,darkblue,white,,Central Connecticut State University,,"Website: <a href=""http://www.ccsu.edu/"" target=""_blank"">http://www.ccsu.edu</a>","1615 Stanley St, New Britain CT 06050",41.6908213,-72.7709932,"1615 Stanley St, New Britain, CT 06051, USA",Partial Match,Google
Higher education,school,darkblue,white,,Manchester Community College,,"Website: <a href=""http://www.manchestercc.edu/"" target=""_blank"">http://www.manchestercc.edu</a>","Great Path, Manchester CT 06040",41.7622906,-72.5670043,"Great Path, Manchester, CT 06040, USA",Match,Google
Higher education,school,"rgba(200,100,0,0.5)",white,,University of Connecticut-Hartford,,"Opening Fall 2017. Website: <a href=""http://www.hartford.uconn.edu/"" target=""_blank"">http://www.hartford.uconn.edu</a>","14 Prospect St, Hartford CT 06103",41.762617,-72.6727081,"14 Prospect St, Hartford, CT 06103, USA",Match,Google
Higher education,school,#775307,white,,University of Hartford,,"Website: <a href=""http://www.hartford.edu/"" target=""_blank"">http://www.hartford.edu</a>","200 Bloomfield Ave, West Hartford CT 06117",41.7950017,-72.7154937,"200 Bloomfield Ave, West Hartford, CT 06117, USA",Match,Google
Higher education,school,darkblue,white,,Hartford Seminary,,"Website: <a href=""http://www.hartsem.edu/"" target=""_blank"">http://www.hartsem.edu</a>","77 Sherman St, Hartford CT 06105",41.7698572,-72.7077091,"77 Sherman St, Hartford, CT 06105, USA",Match,Google
Higher education,school,darkblue,white,,St. Thomas Seminary,,"Website: <a href=""http://www.stseminary.org/"" target=""_blank"">http://www.stseminary.org</a>","467 Bloomfield Ave, Bloomfield CT 06002",41.807201,-72.7333618,"467 Bloomfield Ave, Bloomfield, CT 06002, USA",Match,Google
Higher education,school,darkblue,white,,Goodwin College,,"Website: <a href=""http://www.goodwin.edu/"" target=""_blank"">http://www.goodwin.edu</a>","1 Riverside Drive, East Hartford CT 06118",41.7428246,-72.6404704,"1 Riverside Dr, East Hartford, CT 06118, USA",Match,Google
Higher education,school,darkblue,white,,University of St. Joseph,,"Website: <a href=""http://www.usj.edu/"" target=""_blank"">http://www.usj.edu</a>","1678 Asylum Ave, West Hartford CT 06117",41.782005,-72.7299725,"1678 Asylum Ave, West Hartford, CT 06117, USA",Match,Google
Trinity College,media/custom-trinity-64.png,,,64x64,Trinity College,https://www.edx.org/sites/default/files/trinity1.jpg,"Website: <a href=""http://www.trincoll.edu"" target=""_blank"">http://www.trincoll.edu</a>","300 Summit St, Hartford CT 06106",41.7486373,-72.6928403,"300 Summit St, Hartford, CT 06106, USA",Match,Google
