name,pop2010,land-sq-miles-2010,density-number,density-text
Union,854,28.8,29.7,low
Cornwall,1420,46.06,30.8,low
Canaan,1234,32.91,37.5,low
Norfolk,1709,45.32,37.7,low
Colebrook,1485,31.53,47.1,low
Sharon,2782,58.77,47.3,low
Warren,1461,26.31,55.5,low
Eastford,1749,28.92,60.5,low
Kent,2979,48.55,61.4,low
Hartland,2114,33.08,63.9,low
Salisbury,3741,57.24,65.4,low
Voluntown,2603,38.96,66.8,low
Goshen,2976,43.63,68.2,low
Hampton,1863,25.09,74.2,low
Lyme,2406,31.84,75.6,low
Roxbury,2262,26.3,86,low
Scotland,1726,18.63,92.6,low
Washington,3578,38.07,94,low
North Stonington,5297,54.25,97.6,low
Franklin,1922,19.49,98.6,low
Barkhamsted,3799,36.25,104.8,low
Bridgewater,1727,16.4,105.3,low
Pomfret,4247,40.33,105.3,low
Ashford,4317,38.76,111.4,low
Chaplin,2305,19.43,118.6,low
Canterbury,5132,39.94,128.5,low
Woodstock,7964,60.65,131.3,low
Bozrah,2627,19.96,131.6,low
Lebanon,7308,54.1,135.1,low
Morris,2388,17.35,137.7,low
Sterling,3830,27.22,140.7,low
Salem,4151,28.92,143.5,low
Litchfield,8466,56.1,150.9,low
Preston,4726,30.82,153.4,low
Sherman,3581,21.89,163.6,low
East Haddam,9126,54.25,168.2,low
North Canaan,3315,19.47,170.3,low
Willington,6041,33.29,181.4,low
Harwinton,5642,30.79,183.2,low
Killingworth,6525,35.33,184.7,low
Bethlehem,3607,19.38,186.2,low
New Hartford,6970,37.04,188.2,low
Haddam,8346,43.94,190,low
Thompson,9458,46.9,201.7,low
Stafford,12087,58.04,208.3,low
Andover,3303,15.45,213.8,low
Sprague,2984,13.25,225.2,low
Chester,3994,16.05,248.8,low
Columbia,5485,21.37,256.6,low
Hebron,9686,36.94,262.2,low
Bethany,5563,21.13,263.3,low
Lisbon,4338,16.29,266.3,low
Easton,7490,27.42,273.2,low
Woodbury,9975,36.4,274,low
Marlborough,6404,23.35,274.2,low
Granby,11282,40.68,277.3,low
Brooklyn,8210,29.09,282.2,low
Redding,9158,31.5,290.7,low
East Granby,5148,17.56,293.1,low
Durham,7388,23.66,312.3,low
Burlington,9301,29.74,312.7,low
Colchester,16068,48.98,328,low
Old Lyme,7603,23.02,330.3,low
Coventry,12435,37.57,331,low
Deep River,4629,13.51,342.5,low
Griswold,11951,34.71,344.3,low
Bolton,4980,14.41,345.7,low
Winchester,11242,32.51,345.8,low
Middlefield,4425,12.65,349.8,low
Killingly,17370,48.31,359.6,low
